time,daily_max_T,daily_mean_T
1997.969748802708,-32.4400,-32.6338
1997.972488528735,-32.3800,-32.4942
1997.975228254762,-32.1000,-32.3388
1997.977967980790,-31.2700,-31.6513
1997.980707706817,-31.5300,-32.0692
1997.983447432845,-33.2400,-33.8063
1997.986187158872,-34.6200,-34.8321
1997.988926884899,-34.9100,-35.3279
1997.991666610927,-36.2100,-37.2513
1997.994406336954,-38.4000,-38.8421
1997.997146062982,-37.5800,-38.3325
1997.999885789009,-35.7500,-36.5796
1998.002625515036,-34.3900,-35.0213
1998.005365205464,-33.3800,-33.7383
1998.008104931818,-33.0500,-33.2188
1998.010844657846,-32.4700,-32.7762
1998.013584383873,-32.1500,-32.3250
1998.016324109901,-32.3400,-32.7154
1998.019063835928,-33.1700,-33.7837
1998.021803561955,-34.5100,-35.2612
1998.024543286676,-36.0300,-36.7708
1998.027283012704,-37.6100,-38.1763
1998.030022738731,-38.7300,-39.2108
1998.032762464758,-39.5900,-39.8017
1998.035502190786,-39.5900,-39.7588
1998.038241916813,-40.0200,-40.2679
1998.040981642841,-40.3900,-40.5854
1998.043721368868,-40.7600,-40.9092
1998.046461094895,-40.0500,-40.4321
1998.049200820923,-39.3300,-39.5692
1998.051940546950,-39.3000,-39.3725
1998.054680272978,-39.5500,-39.7643
1998.057419999005,NaN,-NaN
1998.060159725032,-40.8800,-41.0584
1998.062899451060,-41.0400,-41.0400
1998.065639177087,-39.3400,-39.6530
1998.068378903115,-37.4300,-38.3288
1998.071118629142,-36.8800,-37.0646
1998.073858355169,-37.2800,-37.8679
1998.076598081197,-36.9800,-37.6483
1998.079337807224,-35.9100,-36.3212
1998.082077533252,-35.1900,-35.4383
1998.084817259279,-35.1500,-35.5054
1998.087556985306,-35.9800,-36.2233
1998.090296716559,-36.4700,-36.8521
1998.093036442587,-36.8000,-36.8596
1998.095776168614,-36.7700,-37.0271
1998.098515894642,-37.6100,-37.9200
1998.101255620669,NaN,-NaN
1998.103995346696,NaN,-NaN
1998.106735072724,NaN,-NaN
1998.109474798751,NaN,-NaN
1998.112214524779,NaN,-NaN
1998.114954250806,NaN,-NaN
1998.117693976833,NaN,-NaN
1998.120433702861,NaN,-NaN
1998.123173428888,NaN,-NaN
1998.125913154916,NaN,-NaN
1998.128652880943,NaN,-NaN
1998.131392606970,NaN,-NaN
1998.134132332998,NaN,-NaN
1998.136872059025,NaN,-NaN
1998.139611785052,NaN,-NaN
1998.142351511080,NaN,-NaN
1998.145091237107,NaN,-NaN
1998.147830963135,NaN,-NaN
1998.150570689162,NaN,-NaN
1998.153310415189,NaN,-NaN
1998.156050141217,NaN,-NaN
1998.158789867244,NaN,-NaN
1998.161529593272,NaN,-NaN
1998.164269319299,NaN,-NaN
1998.167009045326,NaN,-NaN
1998.169748771354,NaN,-NaN
1998.172488497381,NaN,-NaN
1998.175228223409,NaN,-NaN
1998.177967938985,NaN,-NaN
1998.180707665012,NaN,-NaN
1998.183447391040,NaN,-NaN
1998.186187117067,NaN,-NaN
1998.188926843095,NaN,-NaN
1998.191666569122,NaN,-NaN
1998.194406295149,NaN,-NaN
1998.197146021177,NaN,-NaN
1998.199885747204,NaN,-NaN
1998.202625473232,NaN,-NaN
1998.205365199259,NaN,-NaN
1998.208104925286,NaN,-NaN
1998.210844651314,NaN,-NaN
1998.213584377341,NaN,-NaN
1998.216324103368,NaN,-NaN
